provider_id,provider_id_check,npi,npi_check,first_name,first_name_check,last_name,last_name_check,credential,credential_check,full_name,full_name_check,primary_specialty,primary_specialty_check,practice_address_line1,practice_address_line1_check,practice_address_line2,practice_address_line2_check,practice_city,practice_city_check,practice_state,practice_state_check,practice_zip,practice_zip_check,practice_phone,practice_phone_check,mailing_address_line1,mailing_address_line1_check,mailing_address_line2,mailing_address_line2_check,mailing_city,mailing_city_check,mailing_state,mailing_state_check,mailing_zip,mailing_zip_check,license_number,license_number_check,license_state,license_state_check,license_expiration,license_expiration_check,accepting_new_patients,accepting_new_patients_check,board_certified,board_certified_check,years_in_practice,years_in_practice_check,medical_school,medical_school_check,residency_program,residency_program_check,last_updated,last_updated_check,taxonomy_code,taxonomy_code_check
PR_00011,not_found,9353487408,correct,Susan,Susan R,Smith,correct,MD PhD,correct,"Susan Smith, MD PhD",not_found,Anesthesiology,Y,1698 Sunset Blvd,correct,,1698 Sunset Blvd,Fresno,correct,CA,correct,90002,correct,(718) 849-7939,correct,1698 Sunset Blvd,correct,,1698 Sunset Blvd,Fresno,1698 Sunset Blvd,CA,1698 Sunset Blvd,90002,1698 Sunset Blvd,A30374,correct,CA,correct,2024-07-11,EXPIRED:2024-07-11,No,2023-10-04,True,Anesthesiology,1,1698 Sunset Blvd,NYU Grossman School of Medicine,correct,Mayo Clinic,correct,2024-10-11,2025-03-18,235159040X,207L00000X
PR_00012,not_found,0450533156,correct,William,correct,Lewis,correct,DO PhD,correct,"William Lewis, DO PhD",not_found,Dermatology,Y,1833 Fifth Ave,correct,Suite 478,1833 Fifth Ave,Queens,correct,NY,correct,14201,correct,(323) 616-3532,correct,1833 Fifth Ave,correct,Suite 478,1833 Fifth Ave,Queens,1833 Fifth Ave,NY,1833 Fifth Ave,14201,1833 Fifth Ave,060NY255287,correct,NY,correct,2025-05-30,EXPIRED:2025-05-30,Yes,2023-10-12,True,correct,12,1833 Fifth Ave,UCLA David Geffen School of Medicine,correct,Massachusetts General Hospital,not_found,2025-06-03,2024-12-23,298860009X,207N00000X
PR_00013,not_found,3654145864,correct,Fatima,Fatima W,Perez,correct,DO PhD,correct,"Fatima Perez, DO PhD",not_found,Family Medicine,Y,4066 Melrose Ave,correct,,4066 Melrose Ave,San Francisco,correct,CA,correct,90002,correct,626- 749-6425,(626) 749-6425,7712 Hollywood Blvd,4066 Melrose Ave,,4066 Melrose Ave,San Jose,4066 Melrose Ave,CA,4066 Melrose Ave,93001,4066 Melrose Ave,A39831,correct,CA,correct,2024-04-01,EXPIRED:2024-04-01,Yes,2023-04-10,True,Family Medicine,17,4066 Melrose Ave,Johns Hopkins School of Medicine,correct,NewYork-Presbyterian Hospital,correct,2025-08-14,2025-07-12,214549543X,207Q00000X
PR_00014,not_found,6159514846,correct,Karen,correct,Ramirez,correct,MD PhD,correct,"Karen Ramirez, MD PhD",not_found,Pathology,Y,5140 Rodeo Dr,correct,,5140 Rodeo Dr,San Diego,correct,CA,correct,92001,correct,(626) 618-6344,correct,728 Rodeo Dr,5140 Rodeo Dr,,5140 Rodeo Dr,Los Angeles,5140 Rodeo Dr,CA,5140 Rodeo Dr,94001,5140 Rodeo Dr,A80575,correct,CA,correct,2024-02-08,EXPIRED:2024-02-08,No,2023-07-22,False,not_found,36,5140 Rodeo Dr,Johns Hopkins School of Medicine,correct,Cleveland Clinic,correct,2025-01-30,2025-05-04,289245317X,207ZP0000X
PR_00015,not_found,7738721480,correct,Jennifer,correct,Lopez,correct,MD PhD,correct,"Jennifer Lopez, MD PhD",not_found,Pulmonology,Y,7 Lexington Ave,correct,,7 Lexington Ave,Buffalo,correct,NY,correct,10004,correct,(626) 848-6491,correct,7 Lexington Ave,correct,,7 Lexington Ave,Buffalo,7 Lexington Ave,NY,7 Lexington Ave,10004,7 Lexington Ave,060NY786508,correct,NY,correct,2024-10-21,EXPIRED:2024-10-21,Yes,2023-06-07,True,correct,20,7 Lexington Ave,University of Pennsylvania Perelman School of Medicine,correct,Cleveland Clinic,not_found,2025-06-19,2025-01-07,203278320X,207RP1001X
PR_00016,not_found,0163287082,correct,Michael,correct,Thomas,correct,DO PhD,correct,"Michael Thomas, DO PhD",not_found,Urology,Y,1194 Santa Monica Blvd,correct,Suite 813,1194 Santa Monica Blvd,Oakland,correct,CA,correct,95001,correct,(917) 324-8478,correct,1194 Santa Monica Blvd,correct,Suite 813,1194 Santa Monica Blvd,Oakland,1194 Santa Monica Blvd,CA,1194 Santa Monica Blvd,95001,1194 Santa Monica Blvd,A62383,correct,CA,correct,2024-05-14,EXPIRED:2024-05-14,Yes,2023-12-07,False,not_found,34,1194 Santa Monica Blvd,Yale School of Medicine,correct,UCLA Medical Center,correct,2025-01-19,2025-03-16,282228802X,207U00000X
PR_00017,not_found,7347143453,correct,Wei,Wei Z,Kumar,correct,DO PhD,correct,"Wei Kumar, DO PhD",not_found,Endocrinology,Y,8977 Santa Monica Blvd,correct,,8977 Santa Monica Blvd,San Francisco,correct,CA,correct,93001,correct,929  753.2320,(929) 753-2320,8977 Santa Monica Blvd,correct,,8977 Santa Monica Blvd,San Francisco,8977 Santa Monica Blvd,CA,8977 Santa Monica Blvd,93001,8977 Santa Monica Blvd,A93579,correct,CA,correct,2024-07-21,EXPIRED:2024-07-21,Yes,2023-09-28,True,Endocrinology,15,8977 Santa Monica Blvd,UCLA David Geffen School of Medicine,correct,Mayo Clinic,correct,2024-09-06,2025-08-01,228716269X,207RE0101X
PR_00018,not_found,6705466880,correct,David,Dave,Clark,correct,DO PhD,correct,"David Clark, DO PhD",not_found,Otolaryngology,Y,7634 Second Ave,correct,,7634 Second Ave,New York,correct,NY,correct,10004,correct,(424) 425-8999,correct,7634 Second Ave,correct,,7634 Second Ave,New York,7634 Second Ave,NY,7634 Second Ave,10004,7634 Second Ave,060NY907189,correct,NY,correct,2023-02-10,EXPIRED:2023-02-10,Yes,2022-03-29,False,correct,28,7634 Second Ave,UCSF School of Medicine,correct,Massachusetts General Hospital,not_found,2025-02-15,2025-07-08,245114543X,207Y00000X
PR_00019,not_found,7204653751,correct,Priya,Priya C,Sanchez,correct,DO,correct,"Priya Sanchez, DO",not_found,Dermatology,Y,2092 Pico Blvd,correct,,2092 Pico Blvd,Los Angeles,correct,CA,correct,92001,correct,(929) 979-7211,correct,2092 Pico Blvd,correct,,2092 Pico Blvd,Los Angeles,2092 Pico Blvd,CA,2092 Pico Blvd,92001,2092 Pico Blvd,A21003,correct,CA,correct,2025-05-27,EXPIRED:2025-05-27,No,2024-06-06,False,not_found,17,2092 Pico Blvd,Stanford University School of Medicine,correct,Mount Sinai Hospital,correct,2025-08-24,2025-03-17,272399599X,207N00000X
PR_00020,not_found,1937452997,correct,Michael,correct,Thompson,correct,DO,correct,"Michael Thompson, DO",not_found,Nephrology,Y,660 Main St,correct,,660 Main St,San Jose,correct,CA,correct,90004,correct,(818) 935-2876,correct,660 Main St,correct,,660 Main St,San Jose,660 Main St,CA,660 Main St,90004,660 Main St,A41266,correct,CA,correct,2023-09-16,EXPIRED:2023-09-16,Yes,2023-07-17,False,not_found,7,660 Main St,University of Michigan Medical School,correct,Massachusetts General Hospital,correct,2025-03-27,2025-07-26,277282128X,207RN0300X
PR_00021,not_found,0586518502,correct,Priya,correct,Harris,correct,DO PhD,correct,"Priya Harris, DO PhD",not_found,Otolaryngology,Y,3250 Wilshire Blvd,correct,,3250 Wilshire Blvd,San Jose,correct,CA,correct,90002,correct,213  701.2729,correct,3250 Wilshire Blvd,correct,,3250 Wilshire Blvd,San Jose,3250 Wilshire Blvd,CA,3250 Wilshire Blvd,90002,3250 Wilshire Blvd,A99687,correct,CA,correct,2023-09-05,EXPIRED:2023-09-05,No,2023-05-01,False,not_found,30,3250 Wilshire Blvd,Johns Hopkins School of Medicine,correct,UCSF Medical Center,correct,2025-06-04,2025-03-15,298488338X,207Y00000X
PR_00022,not_found,7527354542,correct,Susan,correct,Moore,correct,DO PhD,correct,"Susan Moore, DO PhD",not_found,Family Medicine,Y,9708 Lexington Avenue,correct,,9708 Lexington Avenue,Rochester,correct,NY,correct,10004,correct,(424) 918-5526,correct,7386 Park Ave,9708 Lexington Avenue,,9708 Lexington Avenue,Syracuse,9708 Lexington Avenue,NY,9708 Lexington Avenue,14202,9708 Lexington Avenue,060NY497399,correct,NY,correct,2024-11-19,EXPIRED:2024-11-19,Unknown,2023-08-04,True,correct,34,9708 Lexington Avenue,University of Pennsylvania Perelman School of Medicine,correct,Johns Hopkins Hospital,not_found,2025-05-02,2024-10-16,296646785X,207Q00000X
PR_00023,not_found,8856855744,correct,Linda,correct,Shah,correct,DO,correct,"Linda Shah, DO",not_found,Nephrology,Y,8042 Santa Monica Blvd,correct,Suite 514,8042 Santa Monica Blvd,Los Angeles,correct,CA,correct,90002,correct,(347) 457-4777,correct,8042 Santa Monica Blvd,correct,Suite 514,8042 Santa Monica Blvd,Los Angeles,8042 Santa Monica Blvd,CA,8042 Santa Monica Blvd,90002,8042 Santa Monica Blvd,A50135,correct,CA,correct,2025-01-25,EXPIRED:2025-01-25,Yes,2024-03-19,True,Nephrology,21,8042 Santa Monica Blvd,Stanford University School of Medicine,correct,Mayo Clinic,correct,2025-05-27,2025-08-27,229042654X,207RN0300X
PR_00024,not_found,0824008425,correct,Maria,correct,Patel,correct,MD PhD,correct,"Maria Patel, MD PhD",not_found,Anesthesiology,Y,8596 Pico Blvd,correct,,8596 Pico Blvd,Fresno,correct,CA,correct,90002,correct,(626) 970-9042,correct,8596 Pico Blvd,correct,,8596 Pico Blvd,Fresno,8596 Pico Blvd,CA,8596 Pico Blvd,90002,8596 Pico Blvd,A57301,correct,CA,correct,2024-01-03,EXPIRED:2024-01-03,Yes,2023-10-08,True,Anesthesiology,37,8596 Pico Blvd,Columbia University Vagelos College of Physicians and Surgeons,correct,Mount Sinai Hospital,correct,2024-12-31,2025-06-28,259118721X,207L00000X
PR_00025,not_found,2941318698,correct,Mary,correct,Lopez,correct,MD,correct,"Mary Lopez, MD",not_found,Dermatology,Y,7828 Fifth Ave,correct,,7828 Fifth Ave,Brooklyn,correct,NY,correct,11202,correct,424  833.4697,correct,7828 Fifth Ave,correct,,7828 Fifth Ave,Brooklyn,7828 Fifth Ave,NY,7828 Fifth Ave,11202,7828 Fifth Ave,060NY819796,correct,NY,correct,2023-04-20,EXPIRED:2023-04-20,Unknown,2021-05-04,False,correct,29,7828 Fifth Ave,UCSF School of Medicine,correct,NewYork-Presbyterian Hospital,not_found,2024-11-05,2025-06-18,257556566X,207N00000X
PR_00026,not_found,0344713493,correct,Charles,correct,Wang,correct,MD,correct,"Charles Wang, MD",not_found,Anesthesiology,Y,1626 Hollywood Blvd,correct,,1626 Hollywood Blvd,San Jose,correct,CA,correct,90005,correct,(626) 402-7965,correct,2848 Ventura Blvd,1626 Hollywood Blvd,Suite 561,1626 Hollywood Blvd,San Diego,1626 Hollywood Blvd,CA,1626 Hollywood Blvd,90003,1626 Hollywood Blvd,A87832,correct,CA,correct,2025-08-20,EXPIRED:2025-08-20,Yes,2024-10-10,True,Anesthesiology,10,1626 Hollywood Blvd,Columbia University Vagelos College of Physicians and Surgeons,correct,Mayo Clinic,correct,2025-07-28,2025-08-28,208004482X,207L00000X
PR_00027,not_found,9065940132,correct,William,correct,Martin,correct,MD PhD,correct,"William Martin, MD PhD",not_found,Pediatrics,Y,7680 Central Park West,correct,,7680 Central Park West,Buffalo,correct,NY,correct,11202,correct,(626) 789-1339,correct,7680 Central Park West,correct,,7680 Central Park West,Buffalo,7680 Central Park West,NY,7680 Central Park West,11202,7680 Central Park West,060NY617781,correct,NY,correct,2025-06-15,EXPIRED:2025-06-15,Unknown,2023-07-11,False,correct,37,7680 Central Park West,Harvard Medical School,correct,Mayo Clinic,not_found,2025-01-05,2024-10-03,269654147X,208000000X
PR_00028,not_found,5674680718,correct,Rajesh,correct,Lewis,correct,MD PhD,correct,"Rajesh Lewis, MD PhD",not_found,Orthopedic Surgery,Y,9591 Second Ave,correct,,9591 Second Ave,Syracuse,correct,NY,correct,10002,correct,(929) 458-6296,correct,9591 Second Ave,correct,,9591 Second Ave,Syracuse,9591 Second Ave,NY,9591 Second Ave,10002,9591 Second Ave,060NY436653,correct,NY,correct,2023-08-03,EXPIRED:2023-08-03,Yes,2021-09-22,False,correct,33,9591 Second Ave,Harvard Medical School,correct,Mount Sinai Hospital,not_found,2025-02-03,2025-03-27,207275149X,207X00000X
PR_00029,not_found,0932480860,correct,Christopher,correct,Singh,correct,MD PhD,correct,"Christopher Singh, MD PhD",not_found,Cardiology,Y,8168 Santa Monica Blvd,correct,Suite 234,8168 Santa Monica Blvd,LOS ANGELES,correct,CA,correct,90004,correct,718  430.2858,correct,8168 Santa Monica Blvd,correct,Suite 234,8168 Santa Monica Blvd,Los Angeles,8168 Santa Monica Blvd,CA,8168 Santa Monica Blvd,90004,8168 Santa Monica Blvd,A67424,correct,CA,correct,2025-09-19,correct,No,2025-04-24,True,Cardiology,10,8168 Santa Monica Blvd,UCSF School of Medicine,correct,NewYork-Presbyterian Hospital,correct,2024-12-16,2025-08-03,294678746X,207RC0000X
PR_00030,not_found,6584044997,correct,Thomas,correct,Clark,correct,DO PhD,correct,"Thomas Clark, DO PhD",not_found,Emergency Medicine,Y,3994 Santa Monica Blvd,correct,Suite 713,3994 Santa Monica Blvd,San Francisco,correct,CA,correct,92001,correct,(626) 701-3434,correct,3994 Santa Monica Blvd,correct,Suite 713,3994 Santa Monica Blvd,San Francisco,3994 Santa Monica Blvd,CA,3994 Santa Monica Blvd,92001,3994 Santa Monica Blvd,A27892,correct,CA,correct,2023-05-23,EXPIRED:2023-05-23,No,2023-01-24,False,not_found,23,3994 Santa Monica Blvd,NYU Grossman School of Medicine,correct,UCSF Medical Center,correct,2025-01-12,2025-08-18,243188224X,207P00000X
PR_00031,not_found,2702895178,correct,Li,correct,Gonzalez,correct,DO,correct,"Li Gonzalez, DO",not_found,Radiology,Y,3827 Second Ave,correct,,3827 Second Ave,New York,correct,NY,correct,11201,correct,(718) 738-8486,correct,3827 Second Ave,correct,,3827 Second Ave,New York,3827 Second Ave,NY,3827 Second Ave,11201,3827 Second Ave,060NY950823,correct,NY,correct,2025-02-19,EXPIRED:2025-02-19,Yes,2023-09-17,True,correct,27,3827 Second Ave,Johns Hopkins School of Medicine,correct,Johns Hopkins Hospital,not_found,2025-01-05,2025-04-20,235570755X,207R00000X
PR_00032,not_found,1343161179,correct,Mary,correct,Yang,correct,DO PhD,correct,"Mary Yang, DO PhD",not_found,Urology,Y,5384 Ventura Blvd,correct,,5384 Ventura Blvd,Oakland,correct,CA,correct,91001,correct,(646) 910-5906,correct,5384 Ventura Blvd,correct,,5384 Ventura Blvd,Oakland,5384 Ventura Blvd,CA,5384 Ventura Blvd,91001,5384 Ventura Blvd,A73956,correct,CA,correct,2023-03-15,EXPIRED:2023-03-15,Yes,2022-10-03,True,Urology,21,5384 Ventura Blvd,Harvard Medical School,correct,NewYork-Presbyterian Hospital,correct,2025-03-03,2025-05-22,250310319X,207U00000X
PR_00033,not_found,9237474079,correct,Linda,correct,Martinez,correct,DO,correct,"Linda Martinez, DO",not_found,Nephrology,Y,9273 Columbus Ave,correct,Suite 724,9273 Columbus Ave,Queens,correct,NY,correct,10003,correct,3478939955,correct,9273 Columbus Ave,correct,Suite 724,9273 Columbus Ave,Queens,9273 Columbus Ave,NY,9273 Columbus Ave,10003,9273 Columbus Ave,060NY749813,correct,NY,correct,2024-05-08,EXPIRED:2024-05-08,Yes,2023-03-25,True,correct,29,9273 Columbus Ave,NYU Grossman School of Medicine,correct,NewYork-Presbyterian Hospital,not_found,2024-10-10,2024-10-17,256949781X,207RN0300X
PR_00034,not_found,6409097430,correct,Ahmed,correct,Taylor,correct,DO PhD,correct,"Ahmed Taylor, DO PhD",not_found,Family Medicine,Y,3264 Rodeo Dr,correct,Suite 685,3264 Rodeo Dr,Santa Ana,correct,CA,correct,90002,correct,(424) 560-4588,correct,3264 Rodeo Dr,correct,Suite 685,3264 Rodeo Dr,Santa Ana,3264 Rodeo Dr,CA,3264 Rodeo Dr,90002,3264 Rodeo Dr,A48780,correct,CA,correct,2024-08-27,EXPIRED:2024-08-27,Unknown,2023-10-30,True,Family Medicine,40,3264 Rodeo Dr,Columbia University Vagelos College of Physicians and Surgeons,correct,Mayo Clinic,correct,2024-10-16,2025-03-15,213041121X,207Q00000X
PR_00035,not_found,2858842476,correct,Mohammed,correct,Williams,correct,MD PhD,correct,"Mohammed Williams, MD PhD",not_found,Neurology,Y,547 Pico Blvd,correct,Suite 402,547 Pico Blvd,Sacramento,correct,CA,correct,90003,correct,(347) 964-6549,correct,547 Pico Blvd,correct,Suite 402,547 Pico Blvd,Sacramento,547 Pico Blvd,CA,547 Pico Blvd,90003,547 Pico Blvd,A64460,correct,CA,correct,2023-12-26,EXPIRED:2023-12-26,Yes,2023-02-28,False,not_found,5,547 Pico Blvd,Johns Hopkins School of Medicine,correct,Cleveland Clinic,correct,2024-09-21,2025-06-04,297202721X,207T00000X
PR_00036,not_found,6513709858,correct,Priya,correct,Sanchez,correct,MD PhD,correct,"Priya Sanchez, MD PhD",not_found,Otolaryngology,Y,6465 Broadway,correct,Suite 477,6465 Broadway,Buffalo,correct,NY,correct,142**,14201,(424) 426-2035,correct,6465 Broadway,correct,Suite 477,6465 Broadway,Buffalo,6465 Broadway,NY,6465 Broadway,14201,6465 Broadway,060NY805000,correct,NY,correct,2024-06-20,EXPIRED:2024-06-20,Unknown,2023-08-09,False,correct,20,6465 Broadway,UCLA David Geffen School of Medicine,correct,Johns Hopkins Hospital,not_found,2025-06-23,2025-08-26,206086345X,207Y00000X
PR_00037,not_found,2617964058,correct,Michael,correct,Martin,correct,DO PhD,correct,"Michael Martin, DO PhD",not_found,Otolaryngology,Y,3847 York Ave,correct,,3847 York Ave,Queens,correct,NY,correct,11202,correct,917- 654-8285,correct,3847 York Ave,correct,,3847 York Ave,Queens,3847 York Ave,NY,3847 York Ave,11202,3847 York Ave,060NY879238,correct,NY,correct,2025-05-08,EXPIRED:2025-05-08,Yes,2024-12-07,False,correct,7,3847 York Ave,NYU Grossman School of Medicine,correct,UCLA Medical Center,not_found,2025-08-02,2025-02-21,253437398X,207Y00000X
PR_00038,not_found,3352904223,correct,Thomas,correct,Gonzalez,correct,MD,correct,"Thomas Gonzalez, MD",not_found,Otolaryngology,Y,7451 Wilshire Blvd,correct,,7451 Wilshire Blvd,San Jose,correct,CA,correct,95001,correct,(323) 456-3858,correct,5465 Hollywood Blvd,7451 Wilshire Blvd,Suite 949,7451 Wilshire Blvd,San Francisco,7451 Wilshire Blvd,CA,7451 Wilshire Blvd,95001,7451 Wilshire Blvd,A82641,correct,CA,correct,2024-02-29,EXPIRED:2024-02-29,Yes,2023-12-01,True,Otolaryngology,9,7451 Wilshire Blvd,Harvard Medical School,correct,UCLA Medical Center,correct,2025-05-04,2025-05-08,279034501X,207Y00000X
PR_00039,not_found,9178390842,correct,Mary,correct,Johnson,correct,DO,correct,"Mary Johnson, DO",not_found,Endocrinology,Y,2077 Central Park West,correct,Suite 165,2077 Central Park West,Yonkers,correct,NY,correct,14201,correct,(310) 858-1510,correct,2077 Central Park West,correct,Suite 165,2077 Central Park West,Yonkers,2077 Central Park West,NY,2077 Central Park West,14201,2077 Central Park West,060NY915809,correct,NY,correct,2025-01-11,EXPIRED:2025-01-11,Yes,2023-05-21,False,correct,26,2077 Central Park West,UCLA David Geffen School of Medicine,correct,Johns Hopkins Hospital,not_found,2024-12-25,2025-04-08,295616885X,207RE0101X
PR_00040,not_found,9847896119,correct,Fatima,correct,Lewis,correct,MD,correct,"Fatima Lewis, MD",not_found,Oncology,Y,5278 Pico Blvd,correct,Suite 739,5278 Pico Blvd,San Francisco,correct,CA,correct,90002,correct,(626) 866-4522,correct,5278 Pico Blvd,correct,Suite 739,5278 Pico Blvd,San Francisco,5278 Pico Blvd,CA,5278 Pico Blvd,90002,5278 Pico Blvd,A81874,correct,CA,correct,2024-10-27,EXPIRED:2024-10-27,No,2024-05-31,False,not_found,15,5278 Pico Blvd,UCLA David Geffen School of Medicine,correct,UCLA Medical Center,correct,2025-01-13,2025-06-27,253516659X,207RO0300X
